              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     150.906      48.041     -75.819      19.931
     160.023      47.766     -75.732      19.928
     169.131      47.495     -75.645      19.925
     178.240      47.218     -75.558      19.923
     187.359      46.947     -75.471      19.920
     196.468      46.668     -75.384      19.917
     205.577      46.395     -75.297      19.914
     214.687      46.115     -75.210      19.911
     223.797      45.840     -75.123      19.909
     232.907      45.559     -75.036      19.906
     242.017      45.272     -74.949      19.902
     251.129      45.001     -74.862      19.899
     260.240      44.712     -74.775      19.896
     269.351      44.428     -74.688      19.893
     278.464      44.149     -74.601      19.890
     287.577      43.863     -74.514      19.886
     296.689      43.572     -74.427      19.883
     305.802      43.285     -74.340      19.880
     314.906      42.992     -74.253      19.876
     324.020      42.704     -74.166      19.873
     333.135      42.421     -74.079      19.869
     342.239      42.120     -73.992      19.865
     351.354      41.835     -73.905      19.862
     -76.660      63.543     -77.995      20.059
     -67.541      63.302     -77.908      20.058
     -58.433      63.055     -77.821      20.057
     -49.314      62.812     -77.733      20.055
     -40.206      62.552     -77.646      20.054
     -31.087      62.308     -77.559      20.052
     -21.979      62.058     -77.472      20.051
     -12.860      61.802     -77.385      20.049
      -3.750      61.551     -77.298      20.048
       5.369      61.304     -77.211      20.046
      14.479      61.040     -77.123      20.044
      23.598      60.792     -77.036      20.043
      32.708      60.527     -76.949      20.041
      41.818      60.266     -76.862      20.039
      50.939      60.010     -76.775      20.037
      60.050      59.748     -76.688      20.035
      69.160      59.491     -76.601      20.033
      78.282      59.228     -76.513      20.031
      87.393      58.969     -76.426      20.029
      96.504      58.705     -76.339      20.027
     105.616      58.434     -76.252      20.024
     114.727      58.167     -76.165      20.022
     123.839      57.906     -76.078      20.020
     132.952      57.639     -75.991      20.017
     142.065      57.365     -75.904      20.015
     151.177      57.096     -75.817      20.012
     160.291      56.821     -75.730      20.010
     169.405      56.550     -75.643      20.007
     178.519      56.274     -75.555      20.004
     187.633      56.002     -75.468      20.002
     196.747      55.724     -75.381      19.999
     205.852      55.450     -75.294      19.996
     214.967      55.171     -75.207      19.993
     224.083      54.896     -75.120      19.990
     233.199      54.616     -75.033      19.987
     242.305      54.340     -74.946      19.984
     251.421      54.057     -74.859      19.981
     260.529      53.769     -74.772      19.978
     269.646      53.485     -74.685      19.975
     278.753      53.206     -74.598      19.972
     287.861      52.921     -74.511      19.968
     296.980      52.629     -74.424      19.965
     306.088      52.343     -74.337      19.962
     315.197      52.050     -74.250      19.958
     324.307      51.762     -74.163      19.955
     333.427      51.468     -74.076      19.951
     342.537      51.179     -73.989      19.947
     351.648      50.894     -73.901      19.944
     -76.414      72.606     -77.994      20.141
     -67.300      72.365     -77.907      20.140
     -58.186      72.118     -77.819      20.139
